text,metadata,level
"BỘ GIÁO DỤC VÀ ĐÀO TẠO ĐẠI HỌC BÁCH KHOA HÀ NỘI CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: /QĐ-ĐHBK Hà Nội, ngày tháng","{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""0""}",0
"– Tự do – Hạnh phúc Số: /QĐ-ĐHBK Hà Nội, ngày tháng năm QUYẾT ĐỊNH Về việc ban hành Quy định xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội","{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""1""}",0
"học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội GIÁM ĐỐC ĐẠI HỌC BÁCH KHOA HÀ NỘI Căn cứ Luật Giáo dục đại học ngày 18/6/2012 và Luật sửa đổi, bổ sung","{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""2""}",0
"Giáo dục đại học ngày 18/6/2012 và Luật sửa đổi, bổ sung một số điều của Luật Giáo dục đại học ngày 19/11/2018; Căn cứ Nghị định số 99/2019/NĐ-CP ngày 30/12/2019 của Chính phủ về việc","{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""3""}",0
"cứ Nghị định số 99/2019/NĐ-CP ngày 30/12/2019 của Chính phủ về việc Quy định chi tiết và hướng dẫn thi hành một số điều của Luật sửa đổi, bổ sung một số điều của Luật Giáo dục","{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""4""}",0
"Luật sửa đổi, bổ sung một số điều của Luật Giáo dục đại học; Căn cứ Nghị định số 84/2020/NĐ-CP ngày 17/7/2020 của Chính phủ quy định chi tiết một số điều của Luật Giáo dục;","{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""5""}",0
phủ quy định chi tiết một số điều của Luật Giáo dục; Căn cứ Quy chế Tổ chức và hoạt động của Đại học Bách khoa Hà Nội do Hội đồng Đại học ban hành theo Nghị quyết,"{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""6""}",0
khoa Hà Nội do Hội đồng Đại học ban hành theo Nghị quyết số 17/NQ-ĐHBK ngày 16/3/2023; Căn cứ Quy chế Quản lý tài chính của Đại học Bách khoa Hà Nội do Hội đồng Đại học,"{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""7""}",0
chính của Đại học Bách khoa Hà Nội do Hội đồng Đại học ban hành theo Nghị quyết số 20/NQ-ĐHBK ngày 16/3/2023; Căn cứ Quy chế Chi tiêu nội bộ của Đại học Bách khoa Hà Nội,"{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""8""}",0
Quy chế Chi tiêu nội bộ của Đại học Bách khoa Hà Nội do Giám đốc Đại học ban hành theo Quyết định số 1736/QĐ-ĐHBK ngày 16/3/2023; Theo đề nghị của Ông (bà) Trưởng phòng Đào,"{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""9""}",0
"ngày 16/3/2023; Theo đề nghị của Ông (bà) Trưởng phòng Đào tạo, Trưởng phòng Công tác sinh viên","{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""10""}",0
. QUYẾT ĐỊNH:,"{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""11""}",0
"Điều 1. Ban hành kèm theo Quyết định này Quy định xét cấp học bổng khuyến
khích học tập tại Đại học Bách khoa Hà Nội.
Điều 2. Quyết định này có hiệu lực kể từ ngày ký. Các Ông (Bà) Trưởng phòng Công tác sinh viên, Đào tạo, Tài chính - Kế toán, Hành chính Tổng hợp, trưởng các đơn vị, cá nhân có liên quan chịu trách nhiệm thi hành quyết định này./.","{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""12""}",0
"Nơi nhận: - Như Điều 2; - Lưu: VT, CTSV, ĐT. KT. GIÁM ĐỐC PHÓ GIÁM ĐỐC PGS.TS. Nguyễn Phong Điền BỘ GIÁO DỤC VÀ ĐÀO TẠO ĐẠI HỌC BÁCH KHOA HÀ NỘI CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc QUY ĐỊNH Xét cấp học bổng khuyến khích học tập tại Đại học Bách khoa Hà Nội (Kèm theo Quyết định số /QĐ-ĐHBK ngày / /2023 của Giám đốc Đại học Bách khoa Hà Nội)
Điều 1. Phạm vi điều chỉnh và đối tượng áp dụng","{""source"": ""20230710 1. QĐ Học bổng KKHT 2023.txt"", ""id"": ""13""}",0
